CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Population (Number of persons) 3/ ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
22500,"Florence, SC (Metropolitan Statistical Area)",193290,194240,195590,197053,198010,199167,200913,202246,203805,204825,205662,205800,206041,205986,206426,206235,205854,205476,205036,204911
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",143036,142584,142163,142382,143112,143717,144707,145593,146675,146952,147261,147146,147232,147230,147462,146876,146922,147259,147608,147970
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",97390,97856,98097,98470,98929,99297,99920,100520,101122,101370,101576,101810,101788,101787,101977,101955,102211,102417,103001,103403
22660,"Fort Collins, CO (Metropolitan Statistical Area)",253072,260541,265372,268448,271510,275116,280713,286112,291650,296696,300441,305246,310842,316225,324008,333303,338984,344084,350660,356899
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",225759,227899,229652,231379,233367,235912,240017,242953,244749,247064,248344,249236,249491,248569,248220,248820,249170,250231,250298,250368
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",363420,365954,368402,371190,372757,375420,378911,382387,384311,386818,389298,392332,394225,396638,398591,400806,402887,405445,409126,413263
23420,"Fresno, CA (Metropolitan Statistical Area)",801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101
23460,"Gadsden, AL (Metropolitan Statistical Area)",103286,102976,102988,103025,103080,103174,103528,103893,104206,104239,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
23540,"Gainesville, FL (Metropolitan Statistical Area)",267698,271119,275080,278563,282648,287912,295176,299499,302494,304366,305334,306979,308240,308865,311743,316031,321418,324485,327933,329128
23580,"Gainesville, GA (Metropolitan Statistical Area)",140993,146148,150229,153561,156385,160979,166524,172446,177277,178503,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441
23900,"Gettysburg, PA (Metropolitan Statistical Area)",91457,92591,93934,95503,97300,98606,99899,100502,101056,101252,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009
24020,"Glens Falls, NY (Metropolitan Statistical Area)",124250,124548,124926,125944,126854,127674,128325,128794,129100,128771,129021,128827,128420,127848,127341,126666,126233,125924,125489,125148
24140,"Goldsboro, NC (Metropolitan Statistical Area)",113648,113934,114305,114595,116484,117009,117534,118942,119910,121217,122886,124038,124559,124587,124586,124342,124269,123034,123237,123131
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",97405,96663,96367,96267,98164,97777,98266,97606,98092,97941,98633,98194,99093,100741,101260,101849,102171,102126,101766,100815
24260,"Grand Island, NE (Metropolitan Statistical Area)",68244,68001,68203,68592,68896,68871,69360,69784,70790,72056,72936,73547,74238,74652,75240,75319,75598,75456,75476,75553
24300,"Grand Junction, CO (Metropolitan Statistical Area)",117631,119496,122440,124994,127678,130194,134665,139434,143155,147851,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210
