MSA,city,state_id,lat,lng,MSA
"Overland Park, KS",Overland Park,KS,38.887,-94.687,"Overland Park, KS"
"Grand Prairie, TX",Grand Prairie,TX,32.6872,-97.0209,"Grand Prairie, TX"
"Sunrise Manor, NV",Sunrise Manor,NV,36.1785,-115.049,"Sunrise Manor, NV"
"Waco, TX",Waco,TX,31.5598,-97.1881,"Waco, TX"
"Salinas, CA",Salinas,CA,36.6884,-121.6317,"Salinas, CA"
"Waterbury, CT",Waterbury,CT,41.5583,-73.0361,"Waterbury, CT"
"Clarksville, TN",Clarksville,TN,36.5695,-87.342,"Clarksville, TN"
"Cedar Rapids, IA",Cedar Rapids,IA,41.9665,-91.6782,"Cedar Rapids, IA"
"Sioux Falls, SD",Sioux Falls,SD,43.5397,-96.732,"Sioux Falls, SD"
"Huntington, WV",Huntington,WV,38.4109,-82.4344,"Huntington, WV"
"Ontario, CA",Ontario,CA,34.0393,-117.6064,"Ontario, CA"
"Hagerstown, MD",Hagerstown,MD,39.6401,-77.7217,"Hagerstown, MD"
"Erie, PA",Erie,PA,42.1168,-80.0733,"Erie, PA"
"Vancouver, WA",Vancouver,WA,45.6366,-122.5967,"Vancouver, WA"
"Nampa, ID",Nampa,ID,43.5845,-116.5631,"Nampa, ID"
"Spartanburg, SC",Spartanburg,SC,34.9437,-81.9257,"Spartanburg, SC"
"Gastonia, NC",Gastonia,NC,35.2494,-81.1853,"Gastonia, NC"
"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464,"Fort Lauderdale, FL"
"Lorain, OH",Lorain,OH,41.4409,-82.184,"Lorain, OH"
"Murfreesboro, TN",Murfreesboro,TN,35.8492,-86.4119,"Murfreesboro, TN"
"High Point, NC",High Point,NC,35.9907,-79.9938,"High Point, NC"
"Newport News, VA",Newport News,VA,37.1051,-76.5185,"Newport News, VA"
"Rancho Cucamonga, CA",Rancho Cucamonga,CA,34.1248,-117.5666,"Rancho Cucamonga, CA"
"Hemet, CA",Hemet,CA,33.7341,-116.9969,"Hemet, CA"
"Santa Cruz, CA",Santa Cruz,CA,36.9789,-122.0346,"Santa Cruz, CA"
"Danbury, CT",Danbury,CT,41.4016,-73.471,"Danbury, CT"
"Peoria, AZ",Peoria,AZ,33.7844,-112.2989,"Peoria, AZ"
"Oceanside, CA",Oceanside,CA,33.2247,-117.3083,"Oceanside, CA"
"Elk Grove, CA",Elk Grove,CA,38.416,-121.3842,"Elk Grove, CA"
"Pembroke Pines, FL",Pembroke Pines,FL,26.0128,-80.3382,"Pembroke Pines, FL"
"Vallejo, CA",Vallejo,CA,38.1133,-122.2358,"Vallejo, CA"
"Garden Grove, CA",Garden Grove,CA,33.7787,-117.9601,"Garden Grove, CA"
"Enterprise, NV",Enterprise,NV,36.0164,-115.2208,"Enterprise, NV"
